Wall time,Step,Value
1670863063.1694355,1,2.5878539085388184
1670863064.679806,3,2.571115016937256
1670863066.1274145,5,2.584962844848633
1670863067.640549,7,2.593515396118164
1670863068.999275,9,2.583906650543213
1670863070.346931,11,2.5098304748535156
1670863071.7517648,13,2.4821348190307617
1670863073.2270446,15,2.4510555267333984
1670863074.6728883,17,2.365187168121338
1670863076.2967227,19,2.274291515350342
1670863077.7480724,21,2.1165239810943604
1670863079.188802,23,2.029961109161377
1670863080.6062229,25,1.5741028785705566
1670863082.1567369,27,1.4327284097671509
1670863083.6509628,29,1.2443678379058838
1670863085.2972379,31,1.2290773391723633
1670863086.7681797,33,1.1184817552566528
1670863088.33316,35,1.2590384483337402
1670863089.859022,37,0.8820053935050964
1670863091.3056405,39,0.9663270115852356
1670863092.8558953,41,0.6952509880065918
1670863094.3615327,43,0.8604753613471985
1670863095.772823,45,0.8849412798881531
1670863097.4761662,47,0.5269168615341187
1670863098.9299803,49,0.4722909927368164
1670863100.4370105,51,0.602142333984375
1670863101.9034486,53,0.670383632183075
1670863103.3993871,55,0.519162654876709
1670863104.863841,57,0.5214067101478577
1670863106.3567533,59,0.4616876542568207
1670863107.8389473,61,0.48400700092315674
1670863109.372352,63,0.5585169792175293
1670863111.0977952,65,0.5822869539260864
1670863112.6032631,67,0.5276580452919006
1670863114.0885787,69,0.603744387626648
1670863115.5555205,71,0.6703174710273743
1670863117.0511358,73,0.5420973896980286
1670863118.5495386,75,0.4167180061340332
1670863120.0674288,77,0.4897831678390503
1670863121.5202596,79,0.45553791522979736
1670863123.1090825,81,0.6200549006462097
1670863124.6502266,83,0.48298120498657227
1670863126.418686,85,0.5271682739257812
1670863127.988739,87,0.5178226232528687
1670863129.5346248,89,0.6077927350997925
1670863131.0968633,91,0.6208209991455078
1670863132.609873,93,0.5533301830291748
1670863134.1751542,95,0.5170598030090332
1670863135.6862433,97,0.5566300749778748
1670863137.3207002,99,0.4705010950565338
